,Game_no,End_board,Black_score,Winner,Move_record
0,1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",6,Controller Black,"[65, 64, 53, 46, 75, 74, 73, 86, 85, 84, 83, 82, 63, 76, 37, 66, 56, 72, 62, 57, 81, 61, 71, 28, 87, 52, 77, 88, 48, 67, 68, 58, 47, 78, 42, 38, 51, 41, 43, 33, 36, 34, 35, 25, 31, 24, 27, 18, 22, 26, 32, 11, 23, 13, 17, 21, 16, 15, 14, 12, None]"
0,2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-28,Corner Bot White,"[65, 66, 56, 64, 75, 86, 85, 46, 87, 84, 83, 74, 63, 73, 67, 76, 82, 78, 68, 58, 77, 88, 57, 81, 47, 72, 53, 62, 52, 48, 61, 51, 43, 71, 38, 42, 36, 27, 41, 34, 35, 33, 32, 37, 16, 28, None, 26, 25, 31, 24, 23, 22, 13, 21, 11, 18, 17, 15, 14, 12, None]"
0,3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Corner Bot White,"[65, 64, 53, 46, 75, 85, 86, 73, 84, 63, 83, 72, 71, 81, 56, 62, 51, 82, 76, 87, 36, 66, 52, 61, 74, 43, 77, 88, 42, 67, 78, 68, 58, 48, 57, 47, 41, 37, 28, 35, 38, 33, 32, 34, 23, 27, 25, 26, 18, 31, 24, 17, 21, 22, 16, 15, 14, 13, 11, 12, None]"
0,4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-16,Corner Bot White,"[43, 35, 56, 67, 57, 53, 78, 65, 76, 75, 74, 85, 63, 83, 73, 72, 71, 87, 77, 81, 46, 61, 64, 68, 58, 82, 66, 86, 84, 62, 88, 42, 51, 41, 52, 34, 47, 38, 36, 48, 37, 28, 32, 26, 33, 24, 27, 23, 31, 18, 25, 21, 15, 17, 16, 14, 22, 11, 12, 13, None]"
0,5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",38,Controller Black,"[56, 64, 53, 66, 74, 52, 65, 84, 76, 87, 86, 85, 75, 77, 83, 82, 67, 73, 88, 78, 68, 58, 72, 62, 81, 57, 71, 46, 63, None, 48, 47, 42, 61, 51, 31, 43, 37, 41, 35, 38, 34, 36, 27, 25, 33, 32, 28, 26, 24, 23, 12, 21, 22, 15, 16, 18, 17, 11, 14, 13, None]"
0,6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-30,Corner Bot White,"[65, 64, 73, 76, 75, 36, 87, 85, 86, 88, 66, 56, 57, 82, 53, 77, 46, 84, 43, 63, 74, 67, 78, 68, 72, 83, 58, 81, 71, 52, 62, 61, 35, 42, 41, 48, 51, 37, 47, 31, 38, 34, 33, 32, 22, 28, 27, 26, 25, 21, 16, 24, 23, 12, 18, 17, 15, 13, 11, 14, None]"
0,7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",24,Controller Black,"[56, 66, 76, 64, 65, 87, 74, 84, 86, 85, 43, 46, 57, 48, 67, 77, 88, 78, 68, 53, 75, 58, 63, 73, 83, 82, 81, 52, 72, 71, 62, 36, 61, 51, 47, 38, 37, 34, 42, 41, 33, 32, 28, 27, 31, None, 26, 17, 22, 25, 35, 24, 23, 15, 14, 18, 16, 13, 12, 21, 11, None]"
0,8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-50,Corner Bot White,"[65, 64, 53, 42, 74, 84, 73, 76, 75, 72, 87, 77, 86, 66, 85, 88, 83, 46, 82, 81, 57, 68, 78, 67, 71, 61, 58, 62, 56, 48, 52, 63, 47, 51, 37, 36, 34, 38, 35, 24, 43, 32, 41, 33, 27, 31, 25, 28, 13, 26, 23, 22, 17, 18, 14, 16, 21, 15, None, 12, None, 11, None]"
0,9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",24,Controller Black,"[65, 46, 37, 64, 63, 75, 86, 74, 85, 84, 83, 76, 73, 72, 82, 56, 77, 87, 88, 78, 71, 81, 68, 61, 67, 28, 62, 53, 52, 51, 47, 66, 57, 38, 43, 58, 36, 35, 48, 42, 32, 34, 33, 22, 27, 24, 41, 18, 31, 26, 25, 16, 23, 21, 15, 14, 17, None, 12, 11, 13, None]"
0,10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",6,Controller Black,"[56, 64, 73, 57, 67, 82, 65, 77, 78, 66, 76, 88, 74, 86, 87, 84, 85, 68, 58, 75, 83, 47, 81, 48, 72, 71, 63, 62, 61, 53, 51, 36, 46, 35, 52, 42, 43, 32, 37, 28, 41, 31, 26, 34, 33, 22, 27, 38, 25, 18, 24, 23, 21, None, 12, 11, 15, 14, 16, 17, 13, None]"
