Game_no,End_board,Black_score,Winner,Move_record
1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', 'White', 'White', 'White', '?', '?', 'White', 'White', '.', '.', 'White', 'White', 'White', 'White', '?', '?', 'White', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-56,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 68, 38, 48, None, 83, None, 63, 73, 82, 57, 58, 27, 62, 72, 52, 71, 81, 61, 51, None, 41, None, 25, None, 21, None, 18, 17, 16, None, 26, None, 22, None]"
2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-42,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 35, 18, 57, 58, 48, 25, 73, 82, 72, 62, 27, 16, 63, None, 26, 17, 52, 61, 81, None, 71, None, 51, None, 41, None, 21, None, 22, 32, 24, 23, 12, 14, 13, 11, 15, None]"
3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-42,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 27, 25, 15, 24, 48, 14, 57, 58, 73, 82, 26, 16, 17, None, 72, 62, 63, None, 81, None, 51, 71, 61, None, 52, None, 41, None, 32, 22, 21, None, 11, None, 23, None, 13, 12, None]"
4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-42,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 68, 36, 83, 38, 35, 18, 57, 58, 48, 25, 73, 82, 72, 62, 27, 16, 63, None, 51, 52, 26, 17, 81, None, 41, 61, 71, 32, 21, 22, 24, 23, 15, 14, 11, 12, 13, None]"
5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-38,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 62, 63, 27, 61, 73, 82, 81, 25, 72, 26, 57, 58, 48, None, 24, 14, 71, 52, 51, None, 41, None, 21, None, 17, 16, 23, 32, 22, None, 12, None, 15, None, 13, 11, None]"
6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-46,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 73, 82, 63, 72, 32, 52, 57, 58, 48, 21, 28, 27, 81, None, 71, None, 62, None, 41, 51, 61, None, 11, None, 22, 23, 16, 18, 17, 15, 26, None, 25, 24, 12, 13, 14, None]"
7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-26,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 32, 73, 11, 57, 82, 72, 58, 48, 62, 28, None, 27, 18, 63, None, 81, None, 21, 52, 12, 13, 23, 25, 71, 24, 16, None, 41, 51, 61, 14, 15, 26, 17, None]"
8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-54,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 68, 38, 48, None, 83, None, 73, 82, 63, 72, 81, None, 62, 71, 27, 26, 51, 18, 61, 58, 57, None, 25, 14, 52, 24, 23, 32, 41, None, 22, 13, 21, None, 11, None, 12, None, 15, None, 16, None, 17, None]"
9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-6,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 83, 38, 48, None, 73, 63, 24, 82, 25, 14, 81, 26, 72, 62, 22, 11, 68, None, 57, 58, 27, 18, 17, 16, 15, None, 32, 23, 41, 52, 13, 12, 21, 51, 61, 71, None]"
10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-32,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 62, 63, 57, 61, 73, 82, 81, 26, 48, 58, 25, 24, 72, None, 27, 16, 17, None, 15, 14, 71, 52, 51, None, 41, None, 21, None, 32, None, 23, 13, None, 22, 11, None, 12, None]"
