,Game_no,End_board,Black_score,Winner,Move_record
0,1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",16,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 73, 43, 34, 33, 78, 35, 25, 15, 16, 37, 24, 17, 32, 31, 42, 23, 14, 13, 21, 11, 12, 41, 18, 51, 22, 61, 47, 27, 28, None, 71, None]"
0,2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",14,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 73, 43, 34, 33, 42, 35, 25, 31, 23, 13, 78, 15, 47, 24, 16, 14, 41, 17, 21, 37, 32, 51, 61, 22, 11, 12, 18, 71, 27, 28, None]"
0,3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",10,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 35, 34, 78, 43, 25, 33, 17, 15, 73, 41, 27, 18, 42, 31, 28, 61, 51, 37, 71, 16, 47, None, 24, 23, 12, 13, 32, 11, 21, 14, 22, None]"
0,4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",2,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 35, 33, 73, 43, 78, 34, 42, 31, 41, 37, 25, 15, 32, 23, 16, 17, 13, 24, 14, 12, 21, 51, 61, 27, 18, 22, 11, 47, 28, 71, None]"
0,5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",16,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 73, 43, 16, 37, 34, 35, 47, 33, 78, 15, 42, 17, 25, 14, 32, 31, 41, 51, 61, 71, 24, 13, 23, 22, 11, 12, 18, None, 28, 27, 21, None]"
0,6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-22,Cleric White,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 35, 34, 78, 43, 73, 37, 25, 33, 27, 18, 32, 31, 28, 16, 23, 13, 42, 24, 15, 14, 47, 51, 71, 61, 41, 17, 22, 11, 12, 21, None]"
0,7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",8,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 73, 43, 16, 37, 34, 35, 24, 33, 42, 23, 12, 31, 41, 14, 25, 13, 15, 47, 32, 51, 61, 21, 11, 22, 78, 17, 18, 71, 28, 27, None]"
0,8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",8,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 73, 43, 34, 33, 16, 35, 47, 25, 15, 24, 23, 13, 78, 14, 12, 41, 61, 32, 42, 31, 37, 51, 21, 28, 18, 27, 17, 22, 11, 71, None]"
0,9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",28,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 73, 43, 16, 37, 34, 35, 24, 33, 78, 13, 14, 25, 47, 41, 61, 32, 42, 23, 12, 31, 51, 22, 11, 27, 18, 15, 21, 17, 28, 71, None]"
0,10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",10,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 82, 86, 85, 83, 53, 84, 73, 43, 34, 33, 78, 35, 25, 15, 23, 13, 32, 31, 16, 37, 14, 17, 47, 27, 18, 41, 12, 42, 28, 51, 71, 24, 61, 22, 11, 21, None]"
