,Game_no,End_board,Black_score,Winner,Move_record
0,1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",6,Lefty Black,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 25, 62, 31, 84, 83, 82, 61, 52, 41, 51, 74, 36, 47, 38, 71, 33, 34, 37, 58, 48, 26, 32, 23, 27, 18, 24, 22, 16, 14, 21, 11, 12, 13, None, 15, None, 17, None, 28, None]"
0,2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Corner Bot White,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 26, 62, 31, 84, 83, 82, 61, 52, 41, 32, 71, 74, 51, 25, 36, 34, 58, 47, 23, 22, 14, 48, 12, 27, 18, 21, 11, 17, 24, 37, 38, 33, 15, 13, 16, 28, None]"
0,3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-26,Corner Bot White,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 25, 62, 31, 83, 74, 52, 41, 84, 61, 51, 47, 71, 82, 38, 58, 48, None, 36, 37, 33, 34, 28, 32, 27, 18, 26, 17, 24, 16, 22, 14, 23, 13, 12, 11, 21, 15, None]"
0,4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-14,Corner Bot White,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 26, 62, 31, 83, 74, 84, 61, 71, 36, 37, 38, 51, 41, 47, 82, 52, 58, 48, None, 34, 25, 33, 24, 28, 27, 23, 13, 32, 14, 22, 16, 15, 18, 17, 21, 12, 11, None]"
0,5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",2,Lefty Black,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 26, 82, 83, 52, 51, 47, 41, 33, 23, 62, 74, 71, 84, 61, 34, 31, 21, 36, 37, 32, 38, 48, 22, 28, 58, 24, 14, 17, 18, 12, 25, 27, 11, 13, 15, 16, None]"
0,6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",20,Lefty Black,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 25, 52, 31, 82, 74, 71, 83, 41, 33, 62, 51, 32, 36, 84, 37, 47, 21, 34, 61, 27, 18, 24, 14, 23, 13, 26, 38, 28, 16, 22, 15, 48, 11, 12, 17, None, 58, None]"
0,7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",12,Lefty Black,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 26, 82, 83, 52, 51, 47, 41, 62, 74, 71, 84, 25, 61, 33, 23, 32, 34, 31, 21, 24, 14, 27, 38, 48, 36, 37, 18, 22, 11, 28, 13, 12, 16, 15, 17, None, 58, None]"
0,8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",36,Lefty Black,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 25, 52, 31, 82, 74, 83, 84, 71, 51, 41, 47, 24, 26, 61, 13, 48, 62, 17, 33, 34, 32, 23, 14, 21, 11, 22, 12, 15, 27, 37, 36, None, 18, 28, 58, None, 38, None, 16, None]"
0,9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-10,Corner Bot White,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 25, 62, 31, 82, 83, 47, 51, 74, 84, 52, 58, 36, 61, 48, 27, 71, 38, 41, 37, 26, 33, 32, 34, 28, 18, 21, 11, 23, 13, 22, 12, 17, 24, 14, 15, 16, None]"
0,10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",8,Lefty Black,"[56, 66, 65, 64, 77, 88, 53, 35, 76, 75, 87, 67, 86, 85, 46, 63, 43, 42, 78, 68, 73, 72, 81, 57, 25, 82, 83, 62, 31, 84, 37, 52, 61, 51, 41, 33, 71, 28, 58, 48, 24, 47, 74, 34, 36, 26, 38, 27, 32, 22, 11, 21, 23, 16, 14, 15, 17, 13, 12, None, 18, None]"
