,Game_no,End_board,Black_score,Winner,Move_record
0,1,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-8,Cleric White,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 61, 73, 71, 31, 32, 83, 25, 84, 85, 41, 47, 37, 23, 13, 17, 24, 14, 16, 82, 18, 27, 51, 12, 21, 22, 11, None, 15, 28, 86, 78, None]"
0,2,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-10,Cleric White,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 61, 73, 24, 23, 83, 84, 13, 32, 37, 31, 47, 41, 85, 25, 17, 16, 15, 28, 51, 22, 11, 14, 21, 18, 27, 12, None, 86, 78, 71, None, 82, None]"
0,3,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",0,Tie,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 61, 73, 71, 31, 47, 84, 85, 83, 25, 24, 17, 16, 15, 32, 37, 14, 13, 41, 51, 23, 12, 28, 82, 27, 18, 22, 11, 21, 78, 86, None]"
0,4,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",0,Tie,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 24, 23, 71, 84, 73, 83, 82, 13, 85, 31, 14, 15, 16, 37, 12, 25, 47, 51, 32, 41, 61, 27, 18, 22, 11, 78, 21, 86, 17, 28, None]"
0,5,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",6,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 16, 37, 82, 84, 86, 47, 73, 61, 71, 31, 23, 32, 41, 13, 51, 83, 25, 24, 15, 14, 12, 21, 11, 22, 85, 17, 18, 78, 27, 28, None]"
0,6,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-20,Cleric White,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 61, 73, 71, 31, 47, 84, 25, 37, 23, 13, 83, 16, 85, 51, 32, 41, 15, 14, 24, 82, 27, 18, 28, 17, 78, 86, 21, 11, 22, 12, None]"
0,7,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-28,Cleric White,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 61, 73, 47, 83, 85, 41, 25, 23, 82, 84, 32, 31, 16, 37, 12, 13, 14, 24, 28, 18, 27, 15, 17, 11, 22, 51, 86, 71, None, 21, None, 78, None]"
0,8,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",24,Corner_Bot Black,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 24, 23, 16, 37, 71, 84, 82, 31, 83, 13, 14, 51, 47, 15, 25, 17, 61, 27, 18, 73, 12, 41, 32, 22, 11, 85, 86, 21, 78, 28, None]"
0,9,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-16,Cleric White,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 61, 73, 24, 23, 82, 84, 13, 32, 83, 31, 41, 25, 85, 37, 16, 14, 15, 51, 21, 47, 28, 18, None, 27, 17, 12, 22, 11, None, 71, None, 86, 78, None]"
0,10,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'Black', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'Black', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-6,Cleric White,"[65, 66, 67, 46, 56, 76, 87, 63, 36, 75, 64, 68, 77, 88, 72, 26, 57, 81, 74, 58, 48, 38, 52, 62, 34, 33, 43, 53, 42, 35, 61, 73, 47, 83, 82, 84, 24, 32, 23, 13, 15, 37, 85, 31, 25, 16, 41, 14, 21, 51, 27, 11, 22, 18, 71, 28, 17, 86, 12, 78, None]"
